name,type,description,address,lat,lng,opening_hours,source_url,indoor_outdoor,indoor_outdoor_source
National Gallery Singapore,attraction,Take in the region’s newest and largest museum of modern Singapore and Southeast Asian art housed within two of Singapore’s awe-inspiring national monuments.,1 St Andrew's Road,1.2900000000285456,103.85135599973536,"Effective from 24 November 2015, Sunday to Thursday and  public holidays,10am - 7pm ,Friday to Saturday and  eve of public holidays, 10am - 10pm",http://www.nationalgallery.sg,indoor,rule
Sultan Mosque (Masjid Sultan) Singapore,attraction,"Also known as Masjid Sultan, the impressive Sultan Mosque in historic Kampong Glam is the focal point for Singapore’s Muslim community.",3 Muscat Street,1.3020000004260976,103.85917100028674,"Monday to Sunday:9.30am – 12pm and 2pm – 4pm ,Friday:2.30pm – 4pm",http://www.sultanmosque.org.sg,indoor,rule
Sri Mariamman Temple: Hindu Temple in Singapore,attraction,"Located in Chinatown, the Sri Mariamman Temple dates back to 1827 and is the oldest Hindu temple in Singapore.",244 South Bridge Road,1.2820000002937373,103.84538000018904,"Daily from 7am – 12pm, and 6pm – 9pm",http://heb.gov.sg/our-subsidiaries/temples/sri-mariamman-temple.aspx,indoor,rule
Armenian Church in Singapore,attraction,The oldest Christian church in Singapore is an architectural masterpiece from the early 19th century.,60 Hill Street,1.2930000003953066,103.84966000032438,"Daily, 9am –6pm",http://www.armeniansinasia.org/,indoor,rule
CHIJMES Singapore,attraction,"Whether functioning as a school or a lifestyle and entertainment complex, it appears the beauty of CHIJMES is only equalled by its versatility.",30 Victoria Street,1.2950000001195543,103.85168000024268,"Daily, 24 hours,Opening hours of businesses in CHIJMES may vary.",http://chijmes.com.sg/,indoor,llm
St Andrew’s Cathedral- Singapore Architecture Landmark,attraction,Singapore's largest cathedral is a stellar example of colonial-era architecture and heritage.,11 St Andrew's Road,1.2920000003645002,103.85230999960989,"Monday to Saturday, 9am – 5pm",http://www.livingstreams.org.sg/sac/visitors.html,indoor,rule
Kreta Ayer Square,attraction,,Banda Street,1.2811980001643042,103.84358529987428,,,outdoor,rule
Albert Mall Trishaw Park,attraction,,Queen Street,1.2995489004045309,103.85348479978056,,,indoor,llm
Chinatown Food Street,attraction,,Smith Street,1.2825532995782902,103.84379239960526,,,outdoor,rule
"Chinatown Heritage Centre, Singapore",attraction,Experience how Singapore’s early Chinese migrants once lived and learn more about local Chinese culture at the Chinatown Heritage Centre.,48 Pagoda Street,1.2839999998153109,103.84435000038138,"Daily, 9am – 8pm,Last entry at 7pm.*Chinatown Heritage Centre will be closed for renovation from 1 October 2014 till end-2015.",http://www.singaporechinatown.com.sg/,indoor,rule
"Thian Hock Keng Temple, Singapore",attraction,"Beautifully restored, Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.",158 Telok Ayer Street,1.2809999998118309,103.8476300001705,"Daily, 7.30am – 5.30pm",http://www.thianhockkeng.com.sg,indoor,rule
Eurasian Heritage Centre: Singapore Attraction,attraction,This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.,139 Ceylon Road,1.3099999998793554,103.8994200000771,"Tuesday to Sunday, 9am – 6pm, Closed on Monday",http://www.eurasians.org.sg/,indoor,rule
Shophouses,attraction,"With many beautifully preserved examples on hand today, the shophouses in Singapore are prime examples of timeless architectural appeal.",,1.276999999876382,103.8373360000777,,www.yoursingapore.com/en/see-do-singapore/architecture/historical/shophouses-typology.html,outdoor,llm
Capitol Building Singapore,attraction,The queen of Singapore cinemas will soon reclaim her crown as the premier entertainment hub when Capitol Building reopens next year.,11 Stamford Road,1.2940000004493355,103.8515699997292,,http://www.capitolsingapore.com,indoor,rule
Esplanade Theatre,attraction,This boldly designed performing arts centre has become a memorable part of Singapore’s skyline.,1 Esplanade Drive,1.2899999997642684,103.8552800002768,,http://www.esplanade.com,indoor,rule
Gardens by the Bay,attraction,"The lush and beautiful Gardens by the Bay is dominated by the sleekly sculptured biodomes – marvels of architecture, design and engineering.",18 Marina Gardens Drive,1.2819999996692495,103.8636129995887,"Outdoor Gardens: 5am – 2am,Conservatories: 9am – 9pm,OCBC Skyway: 9am – 9pm",http://www.gardensbythebay.com.sg,outdoor,rule
The Interlace,attraction,There’s more than meets the eye in The Interlace’s artful arrangement of residential blocks.,180-226 Depot Road,1.2819999996256088,103.803050000142,,http://www.theinterlace.com,outdoor,llm
PARKROYAL on Pickering,attraction,PARKROYAL on Pickering is a luxurious garden oasis in downtown Singapore.,3 Upper Pickering Street,1.2859999996480584,103.84652200044346,,http://www.parkroyalhotels.com/en/hotels-resorts/singapore/pickering.html,outdoor,rule
Lasalle College of the Arts,attraction,How can something that fits so perfectly into a cityscape evoke nature as well? It all lies in the design of Lasalle College of the Arts.,1 McNally Street,1.3029999996442767,103.8516000001864,"Administration Office, Monday to Friday, 9am to 6pm. Visitors can still walk around the campus after office opening hours",https://www.lasalle.edu.sg,indoor,rule
Kranji War Memorial Landmark in Singapore,attraction,The Kranji War Memorial in Singapore honours the men and women from the Commonwealth who died in the line of duty during World War II.,9 Woodlands Road,1.418999999932186,103.75749000006692,"Daily, 8am – 6.30pm",http://bit.ly/19MZ0SB,outdoor,rule
Indian National Army (INA) Monument in Singapore,attraction,This marker at Esplanade Park was one of the eleven World War II markers erected in 1995 to commemorate the 50th anniversary of the end of World War II.,Esplanade Park,1.2899999997232254,103.85421699970864,Daily,http://www.nhb.gov.sg/places/historic-sites/indian-national-army-memorial,outdoor,rule
Reflections at Bukit Chandu: Singapore War Memorial,attraction,"This heritage centre relives the Battle of Pasir Panjang, one of the fiercest battles fought against the Japanese in Singapore during World War II.",31-K Pepys Road,1.2800000003925769,103.79432999969906,"Tuesday to Sunday, 9am – 5.30pm,Closed on Monday (except on public holidays)",http://www.nhb.gov.sg/museums/reflections-at-bukit-chandu,outdoor,rule
The Cenotaph - a Singapore War Memorial Landmark,attraction,This war memorial in Esplanade Park honours the heroes who fought and died during World War I and World War II.,"Esplanade Park, Connaught Drive",1.2900000001118352,103.85383800032336,Daily,http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/esplanade-park-memorials,outdoor,rule
The Civilian War Memorial park in Singapore,attraction,"Situated at the War Memorial Park in Beach Road, this memorial commemorates civilian victims of the Japanese Occupation in Singapore.",Bras Basah Road & Beach Road intersection,1.2929999996111916,103.85461799967786,Daily,http://www.nhb.gov.sg/places/sites-and-monuments/national-monuments/civilian-war-memorial,outdoor,rule
Sri Veeramakaliamman Temple: Hindu Temple in Singapore,attraction,"Sri Veeramakaliamman Temple is one of Singapore’s oldest Hindu temples, in the heart of Little India.",141 Serangoon Road,1.3079999996066878,103.85257999969204,"Daily, 5.30am – 9.30pm",http://www.sriveeramakaliamman.com/,indoor,rule
Maghain Aboth Synagogue,attraction,"The Maghain Aboth Synagogue is a gem in more ways than one, providing both a snapshot of history and a glimpse into a rich culture.",24/26 Waterloo Street,1.2980000004431316,103.85081000006583,"Visits are available only by appointment. For more information, email jewishwb@singnet.com.sg or call +65 6337 2189 (ext. 103)",http://www.singaporejews.com,indoor,rule
Old Supreme Court Singapore,attraction,"From dispensing justice to displaying art, the Old Supreme Court undergoes an overhaul for its new role as the National Gallery Singapore.",1 St Andrew's Road,1.2899999996647205,103.85128000020116,Expected to open in 2015,http://app.supremecourt.gov.sg/,indoor,llm
SIT Flats Singapore,attraction,Take a walk back in time through the Art Deco architecture in the heritage neighbourhood of Tiong Bahru.,Seng Poh Road and Tiong Bahru Road,1.2840000001747696,103.83360000005707,,www.yoursingapore.com/en/see-do-singapore/architecture/historical/sit-flats.html,outdoor,llm
Lau Pa Sat Singapore,attraction,"The grande dame of markets in Singapore, Lau Pa Sat blends history, striking architecture and scrumptious local food into one heady experience.",18 Raffles Quay,1.280999999667631,103.85043999993232,"Daily, 24 hours",http://www.laupasat.biz,indoor,llm
"Malay Heritage Centre, Singapore",attraction,The Malay Heritage Centre is a must-visit if you’re keen on learning about the rich heritage and culture of Singapore’s Malay community.,85 Sultan Gate,1.302999999904892,103.85986000025429,"Malay Heritage Centre Museum, Tuesday to Sunday, 10am – 6pm, Closed on Monday, Malay Heritage Centre Compound, Tuesday to Sunday, 8am – 8pm, Friday and Saturday, 8am – 10pm, Closed on Monday",http://www.malayheritage.org.sg,indoor,rule
Peranakan Museum Singapore: History & Culture,attraction,"Get to know Singapore’s vibrant Peranakan community and history at this top-notch museum, filled with fine artefacts and fun exhibits.",39 Armenian Street,1.294000000202201,103.84920000039304,"Saturday to Thursday, 10am – 7pm, Friday, 10am – 9pm",http://peranakanmuseum.org.sg/,indoor,rule
Raffles Singapore,attraction,"Hark back to a golden age of elegant refinement and gracious living at Raffles Singapore, where the past reawakens to glorious life.",1 Beach Road,1.2960000003582115,103.85403999972,"Daily, 24 hours",http://www.raffleshotel.com,indoor,llm
Gillman Barracks – YourSingapore,attraction,A former British military camp is now Asia's new Destination for Contemporary Art.,9 Lock Road,1.2780000000841434,103.80458999962369,"Tuesday to Saturday, 11am - 7pm, Sunday, 11am - 6pm , Galleries closed on Monday and public holidays.",https://www.gillmanbarracks.com/,outdoor,llm
ArtScience Museum Singapore,attraction,Catch world-class touring exhibitions at this premier exhibition space.,6 Bayfront Ave,1.28599999970066,103.85929000007609,"Daily, 10am – 7pm, Last admission at 6pm",http://www.marinabaysands.com/museum.html,indoor,rule
SAM at 8Q & Singapore Art Museum,attraction,"An extension of the Singapore Art Museum, SAM at 8Q features contemporary art exhibitions and is home to a Moving Image Gallery, where film screenings are held.",8 Queen Street,1.297000000128204,103.85168000025745,"Monday to Thursday, 10am – 7pm, Friday, 10am – 9pm",www.yoursingapore.com/en/see-do-singapore/arts/museums-galleries/8q-sam.html,indoor,rule
Jamae Mosque (Masjid Chulia) Singapore,attraction,"Also known as Masjid Chulia, Jamae Mosque is one of Singapore’s oldest mosques and a prominent landmark in Chinatown since the 1820s.",218 South Bridge Road,1.28300000012288,103.84553999962162,Daily,http://www.masjidjamaechulia.sg/,indoor,rule
Institute of Contemporary Arts Singapore,attraction,This experimental art space housed in a tertiary arts college will help you deepen your understanding of contemporary art.,"LASALLE College of the Arts, 1 McNally Street",1.3029999996442767,103.8516000001864,"Tuesday to Sunday, 12pm - 7pm, Closed on Monday and public holidays",https://www.lasalle.edu.sg/ICAS/About-ICAS,indoor,rule
Singapore Flyer,attraction,"This giant observation wheel offers 360-degree city views, a panorama that stretches to parts of Malaysia and Indonesia on a clear day.",30 Raffles Avenue,1.2890000003342243,103.86313699997288,"Daily, 8.30am - 10.30pm, (last admission: 10.15pm)",http://www.singaporeflyer.com,outdoor,llm
Marina Bay Sands®,attraction,"A feat of engineering, an architectural statement and a sheer aesthetic triumph, Marina Bay Sands<sup>®</sup> has upped the ante for buildings in Singapore.",10 Bayfront Avenue,1.2830000003284543,103.86081000028442,"SkyPark<sup® Operating Hours - Monday to Thursday, 9:30am – 10pm, Friday to Sunday, 9:30am – 11pm, Shoppes Daily, 10am – 10pm (hours vary by store)",http://www.marinabaysands.com,outdoor,rule
Marina Barrage,attraction,This innovative facility not only supplies water to Singaporeans and helps alleviate floods but also doubles up as a place for family fun.,8 Marina Gardens Drive,1.2810000003603013,103.87158999958272,"Marina Barrage - All day  Information Counter Daily, 9am – 9pm",https://www.pub.gov.sg/marinabarrage,outdoor,rule
Henderson Waves Bridge,attraction,Lush jungle is broken up with a seriously creative twist in the fantastic form of the Henderson Waves bridge.,Henderson Road,1.2759999999166904,103.81525399985188,"Daily, 24 hours",http://www.nparks.gov.sg,outdoor,rule
